forecast_time,device_id,solar_pv
2022-01-29 14:00:00,customer_1,55.25733434780786
2022-01-29 14:30:00,customer_2,49.547807198021694
2022-01-29 14:30:00,customer_1,49.547807198021694
2022-01-29 15:00:00,customer_1,44.38241034778938
2022-01-29 15:00:00,customer_2,44.38241034778938
2022-01-29 15:30:00,customer_2,40.49109994645151
2022-01-29 15:30:00,customer_1,40.49109994645151
2022-01-29 16:00:00,customer_1,17.739201123476292
2022-01-29 16:00:00,customer_2,29.72497617874038
2022-01-29 16:30:00,customer_2,17.14405385027263
2022-01-29 16:30:00,customer_1,20.29364167747105
2022-01-29 17:00:00,customer_2,7.187517113686946
2022-01-29 17:00:00,customer_1,7.070883030879364
2022-01-29 17:30:00,customer_2,0.0
2022-01-29 17:30:00,customer_1,0.0
2022-01-29 18:00:00,customer_2,0.0
2022-01-29 18:00:00,customer_1,0.0
2022-01-29 18:30:00,customer_2,0.0
2022-01-29 18:30:00,customer_1,0.0
2022-01-29 19:00:00,customer_2,0.0
2022-01-29 19:00:00,customer_1,0.0
2022-01-29 19:30:00,customer_1,0.0
2022-01-29 19:30:00,customer_2,0.0
2022-01-29 20:00:00,customer_2,0.0
2022-01-29 20:00:00,customer_1,0.0
2022-01-29 20:30:00,customer_2,0.0
2022-01-29 20:30:00,customer_1,0.0
2022-01-29 21:00:00,customer_2,0.0
2022-01-29 21:00:00,customer_1,0.0
2022-01-29 21:30:00,customer_2,0.0
2022-01-29 21:30:00,customer_1,0.0
2022-01-29 22:00:00,customer_1,0.0
2022-01-29 22:00:00,customer_2,0.0
2022-01-29 22:30:00,customer_1,0.0
2022-01-29 22:30:00,customer_2,0.0
2022-01-29 23:00:00,customer_2,0.0
2022-01-29 23:00:00,customer_1,0.0
2022-01-29 23:30:00,customer_1,0.0
2022-01-29 23:30:00,customer_2,0.0
2022-01-30 00:00:00,customer_1,0.0
2022-01-30 00:00:00,customer_2,0.0
2022-01-30 00:30:00,customer_2,0.0
2022-01-30 00:30:00,customer_1,0.0
2022-01-30 01:00:00,customer_2,0.0
2022-01-30 01:00:00,customer_1,0.0
2022-01-30 01:30:00,customer_1,0.0
2022-01-30 01:30:00,customer_2,0.0
2022-01-30 02:00:00,customer_1,0.0
2022-01-30 02:00:00,customer_2,0.0
2022-01-30 02:30:00,customer_1,0.0
2022-01-30 02:30:00,customer_2,0.0
2022-01-30 03:00:00,customer_2,0.0
2022-01-30 03:00:00,customer_1,0.0
2022-01-30 03:30:00,customer_2,0.0
